A2J74WQXWG5M9W,763,0
A25WL7E75KK134,770,1
A2BIB960QFJWZD,862,1
AUHT0E5S5GTPE,2013,0
A1WVLU0KTI9GYB,348,0
A2UKVO0TM47C1O,2005,0
A11MPIAKPRMF9T,359,0
A2PEL01IY4YBLJ,473,0
A396BEA7NCTDEW,104,0
A19R04IXWA4ZLX,2018,0
AMKWR51EXOPA4,431,0
A2J74WQXWG5M9W,18,1
A3PHU29FNBH1NW,533,1
AMKWR51EXOPA4,819,0
A2HVUJSA0VSK4D,346,0
A1SRI5PDX6WB9B,866,1
A3PHU29FNBH1NW,844,0
A3Q1351EOKQ4DH,256,0
A2PEL01IY4YBLJ,997,1
A2PEL01IY4YBLJ,836,0
A1SRI5PDX6WB9B,2006,1
A26UOQCTO9VDZO,107,1
A1I43J7QNQAVRM,2007,0
A38EIJ4VOJH3YO,2001,0
A3TBGB7VGRRYCT,869,0
A1SRI5PDX6WB9B,489,0
A36R7L9ZP595YT,361,0
A25WL7E75KK134,253,1
AZ311BQ3SX1G0,647,1
A2MH3BPMSRX0C6,880,0
AKEHW5BOBEBFS,320,0
AMKWR51EXOPA4,430,0
A3IFHW1AJNSQM3,856,0
A3Q1351EOKQ4DH,635,1
A2DIM099APN6L7,544,1
AKEHW5BOBEBFS,540,1
AKEHW5BOBEBFS,245,1
A3KWQVFAS7MXE0,573,0
A3KWQVFAS7MXE0,870,0
AVXWE0AHJKQ0P,2014,1
AMKWR51EXOPA4,351,0
AZ311BQ3SX1G0,871,1
A2HVUJSA0VSK4D,228,1
AKEHW5BOBEBFS,581,1
A2HR7ZIX42FEPG,79,0
A3PHU29FNBH1NW,985,0
A37BOK8JXXYMRS,628,0
A881B8OX0B3BU,777,0
AMKWR51EXOPA4,529,0
A1SRI5PDX6WB9B,644,1
A2VYLJXZQG8YKS,2011,1
A2HR7ZIX42FEPG,2006,1
A1P02JFXRXG5V,2017,1
A3VVBTVOIYLJVC,2004,0
A2HVUJSA0VSK4D,171,1
A2BIB960QFJWZD,437,1
AMKWR51EXOPA4,215,1
A1MYBMOZH043LK,412,1
A2PEL01IY4YBLJ,190,1
A1T2C19753PH9N,2002,1
A3KWQVFAS7MXE0,765,0
A3Q1351EOKQ4DH,834,1
AMKWR51EXOPA4,332,1
A2BIB960QFJWZD,356,1
A382SL9ROIY1P6,263,1
